State,First_vaccine_date,Full,Before,first_week,first_second_week,before_last_game,second_seven_week,second_second_week,After,RMSE
CYM,2021-01-02,-6.95840481074081,4.447573681732113,-17.885712943061208,79.01916271314393,69.49948375555508,1.9423911678214099,-43.15242214496611,-55.949066137377514,0.6345911986489865
CYP,2021-01-13,-18.239899148305636,-2.700914614362692,-3.055100039997195,-17.198493896838656,-45.1591928821858,-67.54773531021765,-89.83120224678585,-91.81247829572389,162.53106392631884
CZE,2021-01-03,79.5766519444597,-58.750038807252345,46.44367120786816,163.2118114988523,172.88400603682175,217.67508920454034,250.95406658484634,280.465899829298,313.3210131238431
DEU,2021-01-03,-84.84401119603402,-52.53124459135814,-76.2850403021617,-82.26845552582719,-86.42612483154988,-91.07830514915707,-94.37618413735429,-95.7228037666442,3714.3169852325614
DJI,2021-04-24,-21.801360205259982,8.961982070629643,-25.4062409383477,48.30672539380058,-24.9710527035258,-37.301850699678624,-42.78618761070605,-72.88622507442595,1.2925813758145328
DMA,2021-02-18,-74.92736002231716,281.4250936213038,542.5247498915082,-40.338847747038194,-80.71888139465511,-90.47258134329388,-76.63665954835443,-74.79694078858162,34.74006429159234
DNK,2020-12-18,14.798608718128358,-1.3180250359313608,26.97712665218639,31.658048828541386,19.399005158486183,18.068197121299804,19.41075752131231,19.147046845109315,190.80715577923095
DOM,2021-02-22,23.94749658049872,24.094157247199313,54.81945714487222,36.66656394202294,39.24358757795206,24.656956528119107,-18.964949704110797,-48.05553540774045,135.71651021634264
DZA,2021-02-05,-29.878872896031705,-42.32689969513166,-56.979411484640075,-46.615847815646646,-27.403780434947194,1.1536286524496624,65.70737192822187,109.44903403920947,503.7270780102058
ECU,2021-01-27,-24.06701679250157,-50.433464158472006,-34.01974137482192,-8.034727639825059,40.14432250409992,22.751438540860214,21.3751759252507,96.25543649371113,394.1856904037211
EGY,2021-01-31,-43.61950997720122,7.032655648941172,-160.7901788657077,-207.45181662264378,-179.39154165248684,-60.92033402385615,-17.11129893076264,-12.228023823876487,72.51642193869188
ESP,2021-01-11,-50.29228505573029,-51.478778405568114,-63.61280865569763,-58.13336140374968,-50.20024857243729,-36.99257508363664,-20.03481688761383,-3.5235880312795356,10713.83155185832
EST,2021-01-03,5.838682709885169,62.875066114302626,13.869049255680782,0.3018742126320903,-5.343753563050294,-13.3334869257349,2.4058638136462274,-9.674200276168428,33.96158989610795
ETH,2021-04-15,-44.641378841854376,63.75801238228848,-2.396309040866572,-35.94254527718306,-51.42931845673475,-55.601814707191885,-66.31169031653936,-69.78564711846131,397.60016641021775
