State,Full,Before,During,After
KNA,53.3266126610072,168.4939484915042,542.1107206327987,-4.929333608300017
KOR,-26.93505842941683,-16.9915717340721,-25.221221715783194,-32.46111691800956
KWT,124.58195025594286,21.97469578830106,91.63050151873352,367.0036763164803
LAO,-38.44847151232859,-19.9040067014187,-43.69542002504693,-42.22752553931542
LBN,-58.44878444748893,-24.16697250031728,-44.05017787859229,-66.05722436424603
LBR,260.0754214139224,-89.5344997212775,392.49889214826896,1280.9181205376144
LBY,25.957250119179548,-42.61687972561215,-3.300367436797627,69.06782495356579
LCA,-52.00362504658087,20.52395964460927,176.26812373241953,-69.7758815696195
LIE,3.0059234631020186,52.274359660486844,68.89571478008793,-25.34347888925861
LKA,-49.041552773990766,-10.594364707123132,-19.021276855907757,-62.605089134028226
LSO,-0.7119640034124517,-15.445279506811016,-23.47313339396881,24.33336661898617
LTU,63.20943023727612,86.11068927981812,77.0558641644401,45.135530560375784
LUX,21.336418246332737,-6.464654286207058,9.830864996924623,50.632579326575936
LVA,-60.98773354274816,-0.7206247445996178,-41.224597071878875,-76.90897240651259
MAR,-62.74272276440165,-26.034424379022315,-45.32706210153968,-68.3507764624369
MCO,-78.7706900735245,-62.69094433041612,-83.42196023243912,-79.47016068223189
MDA,-50.445870443547136,-1.407598184669394,-17.65669796521102,-64.09660546926138
MDG,-340.8812517646687,-10.034217268678885,-134.39860697210423,-1050.337976965708
MDV,-20.33911976784739,-11.999193098650691,-14.376611452585905,-25.620165838095517
MEX,-28.21405888896445,-22.483749301914635,-37.531320770143594,-28.08637119329361
MKD,-75.82396918084085,149.54067578297608,151.0396952614119,-84.60575203577476
MLI,103.42175002924674,-34.48214831062215,-160.0707145069065,142.61798906445205
MLT,-25.07657051790228,-65.59969057915019,-68.48475140771751,39.13135334460628
MMR,93.2925931785843,0.49886742327803674,17.966845864557687,196.94941406891908
MNE,-79.24863637970772,19.754598517620924,-32.324407752236134,-87.07848262174811
MNG,-13.57106823236245,-7.068883394479636,-7.007567777926617,-20.509161269384762
MOZ,140.41511471570482,24.471906553306695,67.99766878144811,308.21452974641375
MRT,-53.08559720313071,-23.779626207416726,-44.06061077386151,-57.80770858813828
MUS,-73.89258093765476,-37.06871415268246,-79.7936687503513,-79.82930950208603
MWI,-21.099609478769466,-35.58948886648175,-53.090501807779255,24.681007211734645
MYS,-30.749170327395763,-8.436736105442279,-20.961855506224893,-39.39008922412114
NCL,-37.47024737792669,-54.85591396799939,-52.429968620936826,21.601958522049287
NER,-13.378155209388561,-2.9454891477335123,47.13229506930447,-28.820844138307898
NGA,-61.64852176199297,-19.835244818617074,-42.00352614111304,-68.81776707794965
NIC,1.022135854699947,4.685701357477719,-3.382093533549106,-1.9820208039041967
NLD,-27.723666138233277,-73.80353457122372,-63.181320858503064,55.18227958201014
NOR,-26.03120215430115,22.911217561138976,30.562167543692702,-43.69340039678484
NPL,4.925138990573335,9.192544484257828,6.047364860006107,5.114838006827297
NZL,-140.5590115134028,-58.97468123448601,-116.8182535602568,-140.21507092400788
OMN,23.85398143087419,19.979128637995924,89.33222694135435,31.035731366664304
PAK,-59.606462603779484,-28.92817739282553,-44.57691213764965,-67.48932403094935
PAN,41.12749543690853,6.366434985891282,16.59286918972129,76.43420191010773
PER,-8.491432038697964,-0.9624212664327652,5.059636837551558,-16.711338947611626
PHL,-56.46728902047189,2.767735441895338,-18.833911197100278,-74.5914742348656
PNG,-74.41778123958129,-65.00131809158529,-91.70817295080073,-69.70602671990925
POL,137.75863195401888,104.92939023848662,108.53219999611443,129.97586510519673
PRT,-6.057327272390213,-12.40432314611477,-33.7722854143343,10.788120325320225
PRY,42.37097131150506,-1.796884080257772,15.109834087481866,202.90746649084053
PSE,-1.403855506698635,99.57897514969066,351.7054999776953,-32.225638420414334
PYF,-99.0777298373057,-62.44365831310596,-91.05986275320642,-99.47789242822819
QAT,-70.66287420865963,-50.48877469220759,-70.31228205611913,-77.09386204987744
ROU,-92.04566809610148,-40.87467296597118,-74.70491373827839,-96.28352933077012
RWA,-3.8219422747911356,-11.44655084706309,-37.06377318461372,33.298960276623454
SAU,18.550172483302052,1.5161008974202843,-2.8893956269093786,65.1668764401247
SDN,-3.8114028031919767,-35.985132330270716,11.978336590426093,51.10288729484706
SEN,-26.44376897008216,-48.77191474609921,-59.44778085320429,19.441362435131204
SGP,-84.64324333131039,-72.28345523697715,-91.82273126863659,-82.03706278255204
SLE,30.838029378347077,-0.26518721812646634,97.61126224887975,173.97565421492817
SLV,22.471013380475892,3.645126153602357,11.216303561416275,33.71676061704299
SMR,-95.9808409498263,-87.94267514959081,-96.95802361950463,-96.28468555140124
SOM,-81.30070512618329,-23.389072617446477,-48.510059076840164,-88.83523177184576
SRB,-71.56657307910751,1.6316900710884579,-20.0945255499051,-81.39452193331887
STP,-74.31315562243131,-17.658265970771073,-28.79325066102022,-91.29887054336037
SUR,6.0035980334701655,7.734856010233158,36.285159141615175,-6.8417622289592765
SVK,-190.5185072889436,-174.24237988086844,-264.36141593462725,-178.6952892390787
SVN,-145.8451780820179,-109.62280303049661,-166.11488369422125,-141.07071784177273
SWE,-116.82968410400973,-39.46208908404306,-108.31591326634597,-125.29289950192839
SWZ,-98.47512975623012,-79.8869788650768,-90.92110229837232,-100.80123363263307
SYC,27.293344562767597,8.566228309104593,12.917973959796203,42.33690231670445
SYR,-0.1702021263394754,39.97791012965517,160.56589088605048,-25.83416223925772
